"NVIC0001","","OSU-03012","C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)C4=CC(=NN4C5=CC=C(C=C5)NC(=O)CN)C(F)(F)F","10027278",\N,"8202849","PDK-1","Reporter assay","Non-linear regression analysis","Selleck Chemicals (Houston, TX, USA)","HEK 293T cells","0.0","400.0","Replication inhibited in NiV-Luc","460.46","7","2","6","8.90","72.42","25986249","https://www.sciencedirect.com/science/article/pii/S0166354215001126?via%3Dihub","kanikatuteja@gmail.com"
"NVIC0002","","Cepharanthine","CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3","10206","DB16824","9791","attachment glycoprotein (Niv-G)","molecular docking and simulation",\N,\N,\N,"0.0","0.0","inhibition of attachment glycoprotein (Niv-G)","606.71","8","0","2","6.75","61.86","36808582","https://pubmed.ncbi.nlm.nih.gov/36808582/","bhupender.thakur855@gmail.com"
"NVIC0003","","Comp11163","CC(=C)C1CC2=C(O1)C=CC3=C2NC(=O)C34CC56C(C4(C)C)CC7(CCCN7C5=O)C(=O)N6","102224080",\N,\N,"RNA-dependent RNA polymerase (RdRp)","molecular docking and simulation",\N,\N,\N,"0.0","0.0","inhibition of RNA-dependent RNA polymerase (RdRp)","447.53","7","2","1","2.84","87.74","36907056","https://pubmed.ncbi.nlm.nih.gov/36907056/","bhupender.thakur855@gmail.com"
"NVIC0004","","1-acetyl-17-[3-(trifluoromethyl)phenyl]-17-azapentacyclo[6.6.5.0~2,7~.0~9,14~.0~15,19~]nonadeca-2,4,6,9,11,13-hexaene-16,18-dione","CC(=O)C12C3C(C(C4=CC=CC=C41)C5=CC=CC=C25)C(=O)N(C3=O)C6=CC=CC(=C6)C(F)(F)F","1037027",\N,"891395","attachment glycoprotein (Niv-G)","virtual screening, molecular docking and ADMET prediction","ADME/Tox filter server","ZINC database",\N,"0.0","0.0","inhibition of attachment glycoprotein (Niv-G)","461.44","7","0","3","7.66","54.45",\N,"https://www.omicsonline.org/open-access/virtual-screening-for-identification-of-small-lead-compound-inhibitors-ofnipah-virus-attachment-glycoprotein-2153-0645-1000180.pdf","nishisharmacool14@gmail.com"
"NVIC0005","","G3","O=C(CSC1=NN=NN1C1=CC=CC2=C1C=CC=C2)N1CCCC2=C1C=CC=C2","1042364",\N,"894998","attachment glycoprotein (Niv-G)","molecular docking and simulation",\N,\N,\N,"0.0","0.0","inhibition of attachment glycoprotein (Niv-G)","401.49","6","0","5","3.95","89.21","33450550","https://pubmed.ncbi.nlm.nih.gov/33450550/","bhupender.thakur855@gmail.com"
"NVIC0006","","U73122","CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC","104794",\N,"94596","Inhibits PLC mediated pathways","HTS immunolabeling assay","Non-linear regression analysis","Sigma Chemical Company (St. Louis, MO, USA).","Vero cells","36320.0","0.0","Inhibition of viral replication","464.65","5","1","9","6.17","58.64","20668647","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/","kanikatuteja@gmail.com"
"NVIC0007","","Comp4641","CC(C)CC1C(=O)N2C(N1)C3(CC4C(=O)NC(O3)(C5=NC6=CC=CC=C6C(=O)N45)C)C7=CC=CC=C72","10552917",\N,"8728308","RNA-dependent RNA polymerase (RdRp)","molecular docking and simulation",\N,\N,\N,"0.0","0.0","inhibition of RNA-dependent RNA polymerase (RdRp)","485.53","9","2","2","2.97","105.56","36907056","https://pubmed.ncbi.nlm.nih.gov/36907056/","bhupender.thakur855@gmail.com"
"NVIC0008","","7-chloro-3-(2-methoxyphenyl)-2(1H)-quinolone","COC1=CC=CC=C1C2=CC3=C(C=C(C=C3)Cl)NC2=O","10613168",\N,\N,"Ephrin-B2","molecular docking and simulation",\N,\N,\N,"0.0","0.0","inhibition of Ephrin-B2","285.72","3","1","2","3.86","42.09","37442011","https://pubmed.ncbi.nlm.nih.gov/37442011/","bhupender.thakur855@gmail.com"
"NVIC0009","","Benzamil","C1=CC=C(C=C1)CN=C(N)NC(=O)C2=C(N=C(C(=N2)Cl)N)N","108107",\N,"97202","Inhibitor of sodium/hydrogen transporter","HTS immunolabeling assay","Non-linear regression analysis",\N,"Vero cells","65040.0","0.0","Sodium channel blockage","319.75","7","5","6","2.35","142.80","20668647","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/","kanikatuteja@gmail.com"
"NVIC0010","","Ryanodine","CC1CCC2(C3(CC4(C5(C(C(C3(C5(C2(C1O)O4)O)O)OC(=O)C6=CC=CN6)(C(C)C)O)C)O)C)O","11317883",\N,"16736002","Stimulates calcium release from the ER via ryanodine receptors.","HTS immunolabeling assay","Non-linear regression analysis","Merck Scientific (Kilsyth, VIC Australia)","Vero cells","65710.0","0.0","Inhibition of henipavirus replication","493.55","10","7","4","0.16","168.94","20668647","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/","kanikatuteja@gmail.com"
"NVIC0011","","Tanshinone I","CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C4=C3OC=C4C","114917",\N,\N,"attachment glycoprotein (Niv-G)","molecular docking and simulation",\N,\N,\N,"0.0","0.0","inhibition of attachment glycoprotein (Niv-G)","276.28","3","0","0","4.10","47.28","38048723","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10746367/","bhupender.thakur855@gmail.com"
"NVIC0012","","Gentianose","C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O","117678",\N,"105162","Non-Structural Protein - C","molecular docking and simulation",\N,\N,\N,"0.0","0.0","inhibition of Non-Structural Protein - C","504.44","16","11","8","-7.57","268.68","37222609","https://pubmed.ncbi.nlm.nih.gov/37222609/","bhupender.thakur855@gmail.com"
"NVIC0013","","KIN1408","COC1=CC2=C(C=C1)SC(=N2)NC(C3=CC=C(C=C3)OC(F)F)C4=C(C5=C(C=CC=N5)C=C4)O","119081414",\N,"57251290","Activation of IRF3-dependent innate immune responses","CPE visual","Two-way analysis of variance with Bonferroni posttests","Life Chemicals Inc. and Kineta, Inc.","Vero E6 cells","0.0","0.0","Decrease in the number of infectious virus particles","479.50","7","2","7","5.47","104.74","26676770","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4810700/","kanikatuteja@gmail.com"
"NVIC0014","","A23187","CC1CCC2(C(CC(C(O2)C(C)C(=O)C3=CC=CN3)C)C)OC1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC","11957499",\N,"10131749","Calcium ionophore","HTS immunolabeling assay","Non-linear regression analysis","Sigma Chemical Company (St. Louis, MO, USA)","Vero cells","70.0","0.0","Inhibition of henipavirus replication","523.63","8","3","7","4.48","126.68","20668647","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/","kanikatuteja@gmail.com"
"NVIC0015","","GS-5734","CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4","121304016","DB14761","58827832","RNA-dependent RNA polymerase (RdRp)","Reporter assay","Non-linear regression analysis","GS-5734 were synthesized at Gilead Sciences, Inc.","HeLa and HEK293T/17 cell","0.0","45.0","Inhibition of transcription in NiV (Rec. M-Luc2AM)","602.59","10","4","14","2.10","213.36","28262699","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5338263/","anshu@imtech.res.in"
"NVIC0015","","GS-5734","CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4","121304016","DB14761","58827832","RNA-dependent RNA polymerase (RdRp)","Reporter assay","Non-linear regression analysis","GS-5734 were synthesized at Gilead Sciences, Inc.","HeLa and HEK293T/17 cell","0.0","29.0","Inhibition of transcription in NiV (Rec. M-GFP2AM)","602.59","10","4","14","2.10","213.36","28262699","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5338263/","priyankapaul008@gmail.com"
"NVIC0015","","GS-5734","CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4","121304016","DB14761","58827832","RNA-dependent RNA polymerase (RdRp)","Cytotoxicity kit","Non-linear regression analysis","GS-5734 were synthesized at Gilead Sciences, Inc.","HeLa cells","0.0","47.0","Inhibition of replication in NiV (M-1999)","602.59","10","4","14","2.10","213.36","28262699","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5338263/","priyankapaul008@gmail.com"
"NVIC0015","","GS-5734","CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4","121304016","DB14761","58827832","RNA-dependent RNA polymerase (RdRp)","Cytotoxicity kit","Non-linear regression analysis","GS-5734 were synthesized at Gilead Sciences, Inc.","HeLa and H358 cells","0.0","32.0","Inhibition of replication in NiV (B-2004) or Inhibition of virus-induced CPE","602.59","10","4","14","2.10","213.36","28262699","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5338263/","priyankapaul008@gmail.com"
"NVIC0016","","Brilliant Green","CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=CC=C3","12450","DB11279","11942","Calcium modulation","HTS immunolabeling assay","Non-linear regression analysis",\N,"Vero cells","218.0","0.0","Inhibition of NiV infection.","385.60","1","0","7","8.33","6.25","19889218","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2781006/","kanikatuteja@gmail.com"
"NVIC0017","","Pyrazofurin","C(C1C(C(C(O1)C2=NNC(=C2O)C(=O)N)O)O)O","135413551",\N,"10570780","Orotidine 5?-monophosphate decarboxylase","Reporter assay",\N,"Toronto Research Chemicals","HEK 293T cells","0.0","432.0","Inhibition cellular of Pyrimidine biosynthesis","259.22","8","6","3","-1.60","161.92","24680955","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5100748/","kanikatuteja@gmail.com"
"NVIC0017","","Pyrazofurin","C(C1C(C(C(O1)C2=NNC(=C2O)C(=O)N)O)O)O","135413551",\N,"10570780","Orotidine 5?-monophosphate decarboxylase","Reporter assay",\N,"Toronto Research Chemicals","HEK 293T cells","0.0","281.0","Inhibition cellular of Pyrimidine biosynthesis","259.22","8","6","3","-1.60","161.92","24680955","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5100748/","kanikatuteja@gmail.com"
"NVIC0017","","Pyrazofurin","C(C1C(C(C(O1)C2=NNC(=C2O)C(=O)N)O)O)O","135413551",\N,"10570780","Replication","CPE visual",\N,\N,"Vero E6 cells","0.0","0.0","Inhibition of viral replication","259.22","8","6","3","-1.60","161.92","16641448","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1472238/","kanikatuteja@gmail.com"
"NVIC0018","","Tetrahydrofolic acid","C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O","135444742","DB00116","82572","Aldehyde dehydrogenase 1 family, member l2",\N,\N,\N,\N,"0.0","0.0",\N,"445.43","12","8","10","-2.70","207.27","28904190","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/","kanikatuteja@gmail.com"
"NVIC0019","","3229-0951","OC1=CC=C(C=NNC2=NC(NC3=CC=CC=C3)=NC(=N2)N2CCOCC2)C=C1","136774454",\N,"11683895",\N,\N,\N,"ChemDiv (San Diego, CA)",\N,"0.0","0.0",\N,"391.40","6","4","7","4.02","107.46","19264786","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/","nishisharmacool14@gmail.com"
"NVIC0020","","1593-0009","COC1=C(C=CC(=C1)C=NNC2=CC(=NC(=N2)N3CCOCC3)N4CCOCC4)O","136919850",\N,"17741464",\N,\N,\N,"ChemDiv (San Diego, CA)",\N,"0.0","0.0",\N,"414.50","7","2","6","1.99","104.57","19264786","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/","nishisharmacool14@gmail.com"
"NVIC0021","","9290-0114","COC1=C(C=C(C=C1)C=C2C(=O)NC(=N)S2)O","137836152",\N,"4689986",\N,\N,\N,"ChemDiv (San Diego, CA)",\N,"0.0","0.0",\N,"250.30","6","3","2","1.19","107.71","19264786","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/","nishisharmacool14@gmail.com"
"NVIC0022","","Comp12696","CC1C(=O)N2C(N1)C3(CC4C(O3)(C(C(=O)C5=NC6=CC=CC=C6C(=O)N45)(C)C)O)C7=CC=CC=C72","139591088",\N,"62285717","RNA-dependent RNA polymerase (RdRp)","molecular docking and simulation",\N,\N,\N,"0.0","0.0","inhibition of RNA-dependent RNA polymerase (RdRp)","472.49","9","2","0","2.22","113.76","36907056","https://pubmed.ncbi.nlm.nih.gov/36907056/","bhupender.thakur855@gmail.com"
"NVIC0023","","Comp11265","CC1(C=CC2=CC3=C(C=C2O1)NC(=O)C34CC56C(C4(C)C)CC7(CCCN7C5=O)C(=O)N6)C","139591449",\N,\N,"RNA-dependent RNA polymerase (RdRp)","molecular docking and simulation",\N,\N,\N,"0.0","0.0","inhibition of RNA-dependent RNA polymerase (RdRp)","447.53","7","2","0","3.15","87.74","36907056","https://pubmed.ncbi.nlm.nih.gov/36907056/","bhupender.thakur855@gmail.com"
